NY0362	rdo rje sems dpa' nam mkha' che kun tu bzang po gsang ba'i snying po'i rgyud
NY0363	la zlo gsang ba'i 'khor lo zhes bya ba'i rgyud
NY0364	rje btsun dam pa
NY0365	kun 'dus
NY0366	khams gsum sgron ma
NY0367	rdo rje sems dpa' nam mkha' che bram ze rgyas pa'i rgyud
NY0368	bde ba chen po byang chub kyi sems rmad du byung ba'i le'u
NY0369	chos thams cad sems nyid ye shes rgyal po zhes dngos grub rang byung dbang bskur ba'i rgyud
NY0370	rdzogs pa chen po chos nyid byang chub kyi sems thig le rgya mtsho gnas la 'jug pa'i rgyud
NY0371	man ngag thams cad kyi sdom
NY0372	rdo rje sems dpa' nam mkha' Ce rgyas pa Zes bya ba rnal 'byor pa'i rgyud
NY0373	byang chub sems dpa' rma bya mjing bsnol mtha'i mun sel
NY0374	lta ba thams cad kyi rgyal po kun tu bzang po che ba rang la gnas pa'i rgyud
NY0375	sku gdung 'bar ba tsha tsha dang mchod rten gyi rgyud
NY0376	kun tu bzang stong gsal thig le snying po gsang ba'i rgyud
NY0377	kun tu bzang mo klong gsal nyi ma'i rgyud
NY0378	rdzogs pa chen po'i chig chod kun grol zhes bya ba'i rgyud
NY0379	rgyud gsum nges par bshad pa
NY0380	rje btsan dam pa
NY0381	byang chub kyi sems mi 'gyur ba'i thig le tig
NY0382	byang chub sems nam mkha'i rgyal po
NY0383	klong gi dkyil 'khor chen po bde 'jam
NY0384	byang chub kyi sems kun 'dus
NY0385	rdzogs pa'i spyi spyod
NY0386	byang chub kyi sems khams gsum sgron ma
NY0387	rdo rje sems dpa' nam mkha' dang mnyam pa'i rgyud
NY0388	byang chub kyi sems sgom pa yi ge med pa'i rgyud
NY0389	rdzogs pa chen po ye shes gsang ba'i rgyud
NY0390	byang chub kyi sems rdzogs pa chen po ye shes gsang ba bshad pa'i rgyud gsal ba mtha' dang mnyam pa'i rgyud
NY0391	rdo rje smes dpa' nam mkha' che rtsa ba'i rgyud skye ba med pa
NY0392	rdo rje sems dpa' nam mkha' che'i rgyud
NY0393	byang chub kyi sems rdzogs pa chen po mkha' mnyam klong gi rgyud kyi rgyal po
NY0394	ye shes gsal ba chos kyi dbyings
NY0395	ye shes 'bar ba chos kyi dbyings
NY0396	byang chub kyi sems rgya mtsho klong dgu'i rgyud
NY0397	byang chub kyi sems kun 'dus 'od kyi rgyud
NY0398	ye shes rin chen 'od kyi rgyud
NY0399	byang chub sems nya mo 'khor lo'i rgyud
NY0400	yi ge 'bru bshad las kyi 'khor lo
NY0401	rig pa nam mkha' ltar gsal ba'i rgyud
NY0402	thams cad nam mkha'i ngo bo skye ba med pa'i byang chub kyi sems bsgom pa'i rgyud
NY0403	byang chub kyi sems bsgom pa'i rgyud
NY0404	de bzhin gshegs pa thams cad rang bzhin byang chub kyi sems bsgom pa'i rgyud
NY0405	yi ge med pa rgyas pa
NY0406	byang chub kyi sems bsgom pa
NY0407	rdzogs pa chen po lta ba dmar 'byam lta ba'i rgyud
NY0408	chos thams cad byang chub kyi sems rdzogs pa chen po 'khor ba rtsad nas cad pa nam mkha' dang mnyam pa ye shes 'od kyi rgyud
NY0409	byang chub kyi sems nam mkha' rgya mtsho rdzogs pa chen po gsang ba rgyud kyi rgyal po
NY0410	srog gi byung ba rgyud kyi rgyal po chen po
